Species.scientific.name,Species.common.name,SeaWEED.ID,Source,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Yield_per_HA,Grow_out_period_days,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes,Production.volume.2018,USD.per.tonne,Taxonomy,Diet,ISSCAAP_Group,EcologyRefNo,HabitatsRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,FoodTroph,FoodSeTroph,Species..Family.,ASFIS,Species..Main.grouping.,Species..Order.,Environment..Environment.,HighLevelISSCAAP
Dicentrarchus labrax,European seabass,61,Jerbi-2012-b,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a traditional raceway.,Tunisia,,2007-2008,"1 farm, 2500 tonnes/year",,,,,,1.7,Compound,,,,,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Freshwater,marine
Dicentrarchus labrax,European seabass,61,Jerbi-2012-b,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a traditional raceway.,Tunisia,,2007-2008,"1 farm, 2500 tonnes/year",,,,,,1.7,Compound,,,,,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Brackishwater,marine
Dicentrarchus labrax,European seabass,61,Jerbi-2012-b,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a traditional raceway.,Tunisia,,2007-2008,"1 farm, 2500 tonnes/year",,,,,,1.7,Compound,,,,,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Marine,marine
Dicentrarchus labrax,European seabass,168,Abdou-2017-a,,1 tonne at farm gate,Offshore cages,Commercial,Seabass harvested in offshore floating cages,Tunisia,,2015.0,"1 farm, 630 tonnes/year",,,,,,1.9,Compound,15.0,18,66,0,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Freshwater,marine
Dicentrarchus labrax,European seabass,168,Abdou-2017-a,,1 tonne at farm gate,Offshore cages,Commercial,Seabass harvested in offshore floating cages,Tunisia,,2015.0,"1 farm, 630 tonnes/year",,,,,,1.9,Compound,15.0,18,66,0,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Brackishwater,marine
Dicentrarchus labrax,European seabass,168,Abdou-2017-a,,1 tonne at farm gate,Offshore cages,Commercial,Seabass harvested in offshore floating cages,Tunisia,,2015.0,"1 farm, 630 tonnes/year",,,,,,1.9,Compound,15.0,18,66,0,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Marine,marine
Epinephelus spp.,Grouper,221,Henriksson et al. 2019,,1 tonne live wet-weight,Floating cages,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,5.0,,Intensive,,,,3.418,Whole fish and pellets,10.0,60,60,5,Hand fed or feeding machine,,,1962.616822,,,,Patrik,43927,,,,Teleost,Carnivorous,33,,,,,,,,,,,,,,marine
Gadus morhua,Atlantic cod,150,Badiola-2017-a,,1 kg live weight,Recirculating system,Experimental,"Cod produced in a pilot-scale recirculating aquaculture system, wherein it was assumed that 50% of energy use of farm came from renewable energy sources",Spain,Basqua Country,2011-2012,3 tanks,,,,,,1.6,Compound,5.0,19,65,0,,47600.0,,,,,,Rob,43902,"Experimental, consider removing",,,Teleost,Carnivorous,32,1371,1371,4.09,0.179,4.34,0.72,4.29,1,GADIDAE,1480400202,PISCES,GADIFORMES,Marine,marine
Lates calcarifer,Barramundi,,SFW (company data),,,Net pen,,,Vietnam,,,,,,,,,1.35,Assumed compound,,30,38,30,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,25,4959,4959,,,4.35,0.77,3.82999992370606,0.6,CENTROPOMIDAE,1700116701,PISCES,PERCOIDEI,Marine,diadromous
Lates calcarifer,Barramundi,,SFW (company data),,,Net pen,,,Vietnam,,,,,,,,,1.35,Assumed compound,,30,38,30,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,25,4959,4959,,,4.35,0.77,3.82999992370606,0.6,CENTROPOMIDAE,1700116701,PISCES,PERCOIDEI,Brackishwater,diadromous
Lates calcarifer,Barramundi,,SFW (company data),,,Net pen,,,Vietnam,,,,,,,,,1.35,Assumed compound,,30,38,30,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,25,4959,4959,,,4.35,0.77,3.82999992370606,0.6,CENTROPOMIDAE,1700116701,PISCES,PERCOIDEI,Freshwater,diadromous
Litopenaeus vannamei,Whiteleg shrimp,198,Henriksson et al. 2015,,1 tonne Peeled tail-on,,,Southern Thailand,Thailand,Southern Thailand,2010.0,77.0,,Intensive,,,,1.49,Compound,26.9,42.3,28.8,2,Hand fed or feeding machine,1163.0,32.45192308,0.4,480 kg,,,Patrik,43924,,"4966240,55",6085,Crustacean,Omnivorous,45,,,,,,,,,,,,,,Crustacean
Litopenaeus vannamei,Whiteleg shrimp,195,Henriksson et al. 2015,,1 tonne Peeled tail-on,,,High-level ponds,China,Guangdong province,2010.0,100.0, ,Intensive,,,,1.26,Compound,28.7,31.2,40.1,0,Hand fed or feeding machine,3803.0,79.80769231,,,,,Patrik,43924,,"4966240,55",6085,Crustacean,Omnivorous,45,,,,,,,,,,,,,,Crustacean
Litopenaeus vannamei,Whiteleg shrimp,196,Henriksson et al. 2015,,1 tonne Peeled tail-on,,,Low-level earthen ponds,China,Guangdong province,2010.0,99.0,,Semi-intensive,,,,1.32,Compound,28.7,31.2,40.1,0,Hand fed or feeding machine,4340.0,38.46153846,1.3,,,,Patrik,43924,,"4966240,55",6085,Crustacean,Omnivorous,45,,,,,,,,,,,,,,Crustacean
Litopenaeus vannamei,Whiteleg shrimp,199,Henriksson et al. 2015,,1 tonne Peeled tail-on,,,,Vietnam,"Ben Tre, VN",2010.0,30.0,,Intensive,,,,1.25,Compound,27.8,32.8,28.5,10.9,Hand fed or feeding machine,264.0,384.6153846,0,,,,Patrik,43924,,"4966240,55",6085,Crustacean,Omnivorous,45,,,,,,,,,,,,,,Crustacean
Litopenaeus vannamei,L vannamei,220,Henriksson et al. 2019,,1 tonne live wet-weight,Earthen pond aquaculture,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,11.0,,Semi-intensive,,,,1.45,Compound,32.0,44,21,3,Hand fed or feeding machine,283.0,98.55769231,,,,,Patrik,43927,,,,Crustacean,Omnivorous,45,,,,,,,,,,,,,,Crustacean
Litopenaeus vannamei,Whiteleg shrimp,197,Henriksson et al. 2015,,1 tonne Peeled tail-on,,,Eastern Thailand,Thailand,Eastern Thailand,2010.0,104.0,,Intensive,,,,1.48,Compound,26.9,42.3,28.8,2,Hand fed or feeding machine,3917.0,310.0961538,0.5,6.6 kg,,,Patrik,43924,,"4966240,55",6085,Crustacean,Omnivorous,45,,,,,,,,,,,,,,Crustacean
Macrobrachium amazonicum,Amazon river prawn,,,,,Ponds,Earthen ponds,,Brazil,,,24.0,,,1.8 t,165 days,40%/cycle,3,Compound,32.6,30.7,26.7,0,,,,,,,,Jessica,43928,"Most of the data is from lit values, especially Kimpara 2011 (but this paper isn't in here); feed composition data from a 1988 study",,,Crustacean,Omnivorous,41,,,,,,,,,,,,,,Crustacean
Macrobrachium rosenbergii,Giant river prawn,,,,,Ponds,Earthen ponds,,Brazil,,,24.0,,,1.283 t,165 days,40%/cycle,1.8,Compound,33.0,31,27,,,,,,,,,Jessica,43928,"Most of the data is from lit values, especially Kimpara 2011 (but this paper isn't in here); feed composition data from a 1988 study","237124,5",8131,Crustacean,Omnivorous,41,,,,,,,,,PALAEMONIDAE,2281202307,CRUSTACEA,NATANTIA,Freshwater,Crustacean
Macrobrachium rosenbergii,Giant river prawn,,,,,Ponds,Earthen ponds,,Brazil,,,24.0,,,1.283 t,165 days,40%/cycle,1.8,Compound,33.0,31,27,,,,,,,,,Jessica,43928,"Most of the data is from lit values, especially Kimpara 2011 (but this paper isn't in here); feed composition data from a 1988 study","237124,5",8131,Crustacean,Omnivorous,41,,,,,,,,,PALAEMONIDAE,2281202307,CRUSTACEA,NATANTIA,Brackishwater,Crustacean
Macrobrachium spp,River prawns nei,140,Medeiros-2017-a,,1 kg animal biomass liveweight,Semi-intensive pond,Experimental,Shrimp harvested from semi-intensive monoculture ponds,"Sao Paolo, Brazil",Sao Paulo,2013-2014,3 farms,,,,,,,,,,,,,6463.0,,,,,,Rob,43902,"Experimental, consider removing",,,Crustacean,Omnivorous,45,,,,,,,,,PALAEMONIDAE,2281202300,CRUSTACEA,NATANTIA,Freshwater,Crustacean
Morone chrysops x M. saxatilis,"Striped bass, hybrid",,SFW (lit and expert),,,Ponds / recirculating,,,USA,,2011.0,,,,,,,1.86,Assumed compound,,31,46,23,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M",,,Teleost,Carnivorous,33,,,,,,,,,MORONIDAE,1700600600017,PISCES,PERCOIDEI,Freshwater,marine
Morone chrysops x M. saxatilis,"Striped bass, hybrid",,SFW (lit and expert),,,Ponds / recirculating,,,USA,,2011.0,,,,,,,1.86,Assumed compound,,31,46,23,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M",,,Teleost,Carnivorous,33,,,,,,,,,MORONIDAE,1700600600017,PISCES,PERCOIDEI,Marine,marine
Mytilus edulis,Blue mussel,146,Aubin-2018-a,,"1 tonne packed ""ready to cook"" mussels",Bouchot culture,Commercial,"Mussels produced in bouchot culture, packaged at the production plant ; includes carbon sequestration",France,Mont Saint-Michel,2012.0,"6 producers, 300-450 tonnes/year",,,,,,,,,,,,,,60.0,,,,,Rob,43902,,"159466,17",1799,Mollusca,Filter-feeder,54,,,,,,,,,MYTILIDAE,3161000105,MOLLUSCA,BIVALVIA,Marine,Mollusca
Mytilus edulis,Blue mussel,147,Aubin-2018-a,,"1 tonne packed ""ready to cook"" mussels",Bouchot culture,Commercial,"Mussels produced in bouchot culture, packaged at the production plant; does not include carbon sequestration",France,Mont Saint-Michel,2012.0,"6 producers, 300-450 tonnes/year",,,,,,,,,,,,,,60.0,,,,,Rob,43902,,"159466,17",1799,Mollusca,Filter-feeder,54,,,,,,,,,MYTILIDAE,3161000105,MOLLUSCA,BIVALVIA,Marine,Mollusca
Mytilus edulis,Blue mussel,145,Ziegler-2013-a,,1 kg edible yield,Unspecified,,"Mussels farmed, sorted, and trucked to Paris",Norway,,2007.0,,,,,,,,,,,,,,,0.0,,,,,Rob,43902,,"159466,17",1799,Mollusca,Filter-feeder,54,,,,,,,,,MYTILIDAE,3161000105,MOLLUSCA,BIVALVIA,Marine,Mollusca
Mytilus galloprovincialis,Mediterranean mussel,51,Iribarren-2010-b,,1 kg fresh mussels,Extensive raft culture,,"Mussels packaged, sold fresh at dispatch centres, and consumed.",Spain,Galicia,2007.0,"80 rafts, 7180 tonnes",,,,,,0,Compound,,,,,,,16.0,,,,,Rob,43902,Double check species Med vs blue vs green,"103010,87",1044,Mollusca,Filter-feeder,54,,,,,,,,,MYTILIDAE,3161000112,MOLLUSCA,BIVALVIA,Brackishwater,Mollusca
Mytilus galloprovincialis,Mediterranean mussel,51,Iribarren-2010-b,,1 kg fresh mussels,Extensive raft culture,,"Mussels packaged, sold fresh at dispatch centres, and consumed.",Spain,Galicia,2007.0,"80 rafts, 7180 tonnes",,,,,,0,Compound,,,,,,,16.0,,,,,Rob,43902,Double check species Med vs blue vs green,"103010,87",1044,Mollusca,Filter-feeder,54,,,,,,,,,MYTILIDAE,3161000112,MOLLUSCA,BIVALVIA,Marine,Mollusca
Mytilus galloprovincialis,Mediterranean mussel,143,CajasDeGliniewicz-2016-a,,1 kg wet weight,Integrated marine rafts,,"Mussels harvested on integrated shellfish farm, processed, packaged, and distributed within the United States",United States,Washington,,1 farm,,,,,,,,,,,,,,,,,,,Rob,43902,Double check species Med vs blue vs green,"103010,87",1044,Mollusca,Filter-feeder,54,,,,,,,,,MYTILIDAE,3161000112,MOLLUSCA,BIVALVIA,Brackishwater,Mollusca
