Input type,Input,Country/Region,Impact category,Units,Allocation,Value,Source,Product information
Crop,Corn gluten meal,United States,Global warming potential,kg CO2-eq / kg,Economic,0.717,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Economic"
Crop,Corn gluten meal,France,Land use,m2a / kg,Mass,1.03,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize gluten meal dried, at processing/FR Mass"
Crop,Corn gluten meal,United States,Land use,m2a / kg,Mass,1.13,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize gluten meal dried, at processing/US Mass"
Crop,Corn gluten meal,France,Land use,m2a / kg,Gross energy content,1.22,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize gluten meal dried, at processing/FR Energy"
Crop,Corn gluten meal,United States,Land use,m2a / kg,Gross energy content,0.133,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize gluten meal dried, at processing/US Energy"
Crop,Corn gluten meal,France,Land use,m2a / kg,Economic,1.38,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize gluten meal dried, at processing/FR Economic"
Crop,Corn gluten meal,United States,Land use,m2a / kg,Economic,1.51,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize gluten meal dried, at processing/US Economic"
Crop,Corn gluten meal,France,Marine eutrophication,kg N-eq / kg,Mass,0.00226,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Mass"
Crop,Corn gluten meal,United States,Marine eutrophication,kg N-eq / kg,Mass,0.00329,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Mass"
Crop,Corn gluten meal,France,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00267,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Energy"
Crop,Corn gluten meal,United States,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00389,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Energy"
Crop,Corn gluten meal,France,Marine eutrophication,kg N-eq / kg,Economic,0.00302,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Economic"
Crop,Corn gluten meal,United States,Marine eutrophication,kg N-eq / kg,Economic,0.0044,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Economic"
Crop,Corn gluten meal,France,Water consumption,m3 / kg,Mass,0.0902,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Mass"
Crop,Corn gluten meal,United States,Water consumption,m3 / kg,Mass,0.0489,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Mass"
Crop,Corn gluten meal,France,Water consumption,m3 / kg,Gross energy content,0.106,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Energy"
Crop,Corn gluten meal,United States,Water consumption,m3 / kg,Gross energy content,0.0573,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Energy"
Crop,Corn gluten meal,France,Water consumption,m3 / kg,Economic,0.12,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Economic"
Crop,Corn gluten meal,United States,Water consumption,m3 / kg,Economic,0.0644,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Economic"
Crop,Maize,United States,Freshwater eutrophication,kg P-eq / kg,Mass,0.00026,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Mass"
Crop,Maize,United States,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00026,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Energy"
Crop,Maize,United States,Freshwater eutrophication,kg P-eq / kg,Economic,0.00026,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Economic"
Crop,Maize,United States,Global warming potential,kg CO2-eq / kg,Mass,0.278,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Mass"
Crop,Maize,United States,Global warming potential,kg CO2-eq / kg,Gross energy content,0.278,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Energy"
Crop,Maize,United States,Global warming potential,kg CO2-eq / kg,Economic,0.278,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Economic"
Crop,Maize,United States,Land use,m2a / kg,Mass,1.25,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize, market mix, at regional storage/US Mass"
Crop,Maize,United States,Land use,m2a / kg,Gross energy content,1.248,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize, market mix, at regional storage/US Energy"
Crop,Maize,United States,Land use,m2a / kg,Economic,1.25,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Maize, market mix, at regional storage/US Economic"
Crop,Maize,United States,Marine eutrophication,kg N-eq / kg,Mass,0.00364,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Mass"
Crop,Maize,United States,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00364,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Energy"
Crop,Maize,United States,Marine eutrophication,kg N-eq / kg,Economic,0.00364,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Economic"
Crop,Maize,United States,Water consumption,m3 / kg,Mass,0.0453,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Mass"
Crop,Maize,United States,Water consumption,m3 / kg,Gross energy content,0.0453,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Energy"
Crop,Maize,United States,Water consumption,m3 / kg,Economic,0.0453,"Agri-footprint 5, ReCiPe characterization","Maize, market mix, at regional storage/US Economic"
Crop,Peanut meal,Argentina,Freshwater eutrophication,kg P-eq / kg,Mass,8.71E-05,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Mass"
Crop,Peanut meal,Argentina,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.0000566,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Energy"
Crop,Peanut meal,Argentina,Freshwater eutrophication,kg P-eq / kg,Economic,3.25E-05,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Economic"
Crop,Peanut meal,Argentina,Global warming potential,kg CO2-eq / kg,Mass,4.81,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Mass"
Crop,Peanut meal,Argentina,Global warming potential,kg CO2-eq / kg,Gross energy content,3.13,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Energy"
Crop,Peanut meal,Argentina,Global warming potential,kg CO2-eq / kg,Economic,1.8,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Economic"
Crop,Peanut meal,Argentina,Land use,m2a / kg,Mass,3.79,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Groundnut meal, at processing/AR Mass"
Crop,Peanut meal,Argentina,Land use,m2a / kg,Gross energy content,2.47,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Groundnut meal, at processing/AR Energy"
Crop,Peanut meal,Argentina,Land use,m2a / kg,Economic,1.42,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Groundnut meal, at processing/AR Economic"
Crop,Peanut meal,Argentina,Marine eutrophication,kg N-eq / kg,Mass,0.00338,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Mass"
Crop,Peanut meal,Argentina,Marine eutrophication,kg N-eq / kg,Gross energy content,0.0022,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Energy"
Crop,Peanut meal,Argentina,Marine eutrophication,kg N-eq / kg,Economic,0.00126,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Economic"
Crop,Peanut meal,Argentina,Water consumption,m3 / kg,Mass,0.012,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Mass"
Crop,Peanut meal,Argentina,Water consumption,m3 / kg,Gross energy content,0.00726,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Energy"
Crop,Peanut meal,Argentina,Water consumption,m3 / kg,Economic,0.00337,"Agri-footprint 5, ReCiPe characterization","Groundnut meal, at processing/AR Economic"
Crop,Rapeseed meal,Canada,Freshwater eutrophication,kg P-eq / kg,Mass,0.00043,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Mass"
Crop,Rapeseed meal,Canada,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00029,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Energy"
Crop,Rapeseed meal,Canada,Freshwater eutrophication,kg P-eq / kg,Economic,0.00017,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Economic"
Crop,Rapeseed meal,Canada,Global warming potential,kg CO2-eq / kg,Mass,1.27,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Mass"
Crop,Rapeseed meal,Canada,Global warming potential,kg CO2-eq / kg,Gross energy content,0.861,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Energy"
Crop,Rapeseed meal,Canada,Global warming potential,kg CO2-eq / kg,Economic,0.507,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Economic"
Crop,Rapeseed meal,Canada,Land use,m2a / kg,Mass,4.76,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Rapeseed meal (solvent), at processing/CA Mass"
Crop,Rapeseed meal,Canada,Land use,m2a / kg,Gross energy content,3.24,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Rapeseed meal (solvent), at processing/CA Energy"
Crop,Rapeseed meal,Canada,Land use,m2a / kg,Economic,1.9,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Rapeseed meal (solvent), at processing/CA Economic"
Crop,Rapeseed meal,Canada,Marine eutrophication,kg N-eq / kg,Mass,0.00625,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Mass"
Crop,Rapeseed meal,Canada,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00425,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Energy"
Crop,Rapeseed meal,Canada,Marine eutrophication,kg N-eq / kg,Economic,0.0025,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Economic"
Crop,Rapeseed meal,Canada,Water consumption,m3 / kg,Mass,0.0817,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Mass"
Crop,Rapeseed meal,Canada,Water consumption,m3 / kg,Gross energy content,0.0556,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Energy"
Crop,Rapeseed meal,Canada,Water consumption,m3 / kg,Economic,0.0327,"Agri-footprint 5, ReCiPe characterization","Rapeseed meal (solvent), at processing/CA Economic"
Crop,Rapeseed oil,Canada,Freshwater eutrophication,kg P-eq / kg,Mass,0.00048,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Mass"
Crop,Rapeseed oil,Canada,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00065,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Energy"
Crop,Rapeseed oil,Canada,Freshwater eutrophication,kg P-eq / kg,Economic,0.00079,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Economic"
Crop,Rapeseed oil,Canada,Global warming potential,kg CO2-eq / kg,Mass,1.43,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Mass"
Crop,Rapeseed oil,Canada,Global warming potential,kg CO2-eq / kg,Gross energy content,1.92,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Energy"
Crop,Rapeseed oil,Canada,Global warming potential,kg CO2-eq / kg,Economic,2.35,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Economic"
Crop,Rapeseed oil,Canada,Land use,m2a / kg,Mass,5.38,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Crude rapeseed oil (solvent), at processing/CA Mass"
Crop,Rapeseed oil,Canada,Land use,m2a / kg,Gross energy content,7.23,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Crude rapeseed oil (solvent), at processing/CA Energy"
Crop,Rapeseed oil,Canada,Land use,m2a / kg,Economic,8.84,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Crude rapeseed oil (solvent), at processing/CA Economic"
Crop,Rapeseed oil,Canada,Marine eutrophication,kg N-eq / kg,Mass,0.00706,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Mass"
Crop,Rapeseed oil,Canada,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00948,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Energy"
Crop,Rapeseed oil,Canada,Marine eutrophication,kg N-eq / kg,Economic,0.0116,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Economic"
Crop,Rapeseed oil,Canada,Water consumption,m3 / kg,Mass,0.0923,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Mass"
Crop,Rapeseed oil,Canada,Water consumption,m3 / kg,Gross energy content,0.124,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Energy"
Crop,Rapeseed oil,Canada,Water consumption,m3 / kg,Economic,0.152,"Agri-footprint 5, ReCiPe characterization","Crude rapeseed oil (solvent), at processing/CA Economic"
Crop,Rice bran,China,Freshwater eutrophication,kg P-eq / kg,Mass,0.00021,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Mass"
Crop,Rice bran,China,Freshwater eutrophication,kg P-eq / kg,Gross energy content,1.90E-04,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Energy"
Crop,Rice bran,China,Freshwater eutrophication,kg P-eq / kg,Economic,6.62E-05,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Economic"
Crop,Rice bran,China,Global warming potential,kg CO2-eq / kg,Mass,1.41,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Mass"
Crop,Rice bran,China,Global warming potential,kg CO2-eq / kg,Gross energy content,1.28E+00,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Energy"
Crop,Rice bran,China,Global warming potential,kg CO2-eq / kg,Economic,0.456,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Economic"
Crop,Rice bran,China,Land use,m2a / kg,Mass,0.893,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Mass"
Crop,Rice bran,China,Land use,m2a / kg,Gross energy content,8.14E-01,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Energy"
Crop,Rice bran,China,Land use,m2a / kg,Economic,0.288,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Economic"
Crop,Rice bran,China,Marine eutrophication,kg N-eq / kg,Mass,0.00284,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Mass"
Crop,Rice bran,China,Marine eutrophication,kg N-eq / kg,Gross energy content,2.59E-03,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Energy"
Crop,Rice bran,China,Marine eutrophication,kg N-eq / kg,Economic,0.00091,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Economic"
Crop,Rice bran,China,Water consumption,m3 / kg,Mass,0.255,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Mass"
Crop,Rice bran,China,Water consumption,m3 / kg,Gross energy content,2.32E-01,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Energy"
Crop,Rice bran,China,Water consumption,m3 / kg,Economic,0.082,"Agri-footprint 5, ReCiPe characterization","Rice bran (mixed), at processing/CN Economic"
Crop,Sunflower meal,Ukraine,Freshwater eutrophication,kg P-eq / kg,Mass,9.07E-05,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Mass"
Crop,Sunflower meal,Ukraine,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00011,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Energy"
Crop,Sunflower meal,Ukraine,Freshwater eutrophication,kg P-eq / kg,Economic,9.08E-05,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Economic"
Crop,Sunflower meal,Ukraine,Global warming potential,kg CO2-eq / kg,Mass,0.302,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Mass"
Crop,Sunflower meal,Ukraine,Global warming potential,kg CO2-eq / kg,Gross energy content,0.38,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Energy"
Crop,Sunflower meal,Ukraine,Global warming potential,kg CO2-eq / kg,Economic,0.302,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Economic"
Crop,Sunflower meal,Ukraine,Land use,m2a / kg,Mass,2.83,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Sunflower seed meal (solvent), at processing/UA Mass"
Crop,Sunflower meal,Ukraine,Land use,m2a / kg,Gross energy content,3.57,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Sunflower seed meal (solvent), at processing/UA Energy"
Crop,Sunflower meal,Ukraine,Land use,m2a / kg,Economic,2.83,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Sunflower seed meal (solvent), at processing/UA Economic"
Crop,Sunflower meal,Ukraine,Marine eutrophication,kg N-eq / kg,Mass,0.00203,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Mass"
Crop,Sunflower meal,Ukraine,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00256,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Energy"
Crop,Sunflower meal,Ukraine,Marine eutrophication,kg N-eq / kg,Economic,0.00203,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Economic"
Crop,Sunflower meal,Ukraine,Water consumption,m3 / kg,Mass,0.00355,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Mass"
Crop,Sunflower meal,Ukraine,Water consumption,m3 / kg,Gross energy content,0.00447,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Energy"
Crop,Sunflower meal,Ukraine,Water consumption,m3 / kg,Economic,0.00355,"Agri-footprint 5, ReCiPe characterization","Sunflower seed meal (solvent), at processing/UA Economic"
Crop,Wheat,Canada,Freshwater eutrophication,kg P-eq / kg,Mass,0.00019,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Mass"
Crop,Wheat,Russia,Freshwater eutrophication,kg P-eq / kg,Mass,0.00012,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Mass"
Crop,Wheat,United States,Freshwater eutrophication,kg P-eq / kg,Mass,0.00029,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Mass"
Crop,Wheat,Canada,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00019,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Energy"
Crop,Wheat,Russia,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00012,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Energy"
Crop,Wheat,United States,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00029,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Energy"
Crop,Wheat,Canada,Freshwater eutrophication,kg P-eq / kg,Economic,0.00019,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Economic"
Crop,Wheat,Russia,Freshwater eutrophication,kg P-eq / kg,Economic,0.00012,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Economic"
Crop,Wheat,United States,Freshwater eutrophication,kg P-eq / kg,Economic,0.00029,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Economic"
Crop,Wheat,Canada,Global warming potential,kg CO2-eq / kg,Mass,0.29,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Mass"
Crop,Wheat,Russia,Global warming potential,kg CO2-eq / kg,Mass,0.252,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Mass"
Crop,Wheat,United States,Global warming potential,kg CO2-eq / kg,Mass,0.345,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Mass"
Crop,Wheat,Canada,Global warming potential,kg CO2-eq / kg,Gross energy content,0.29,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Energy"
Crop,Wheat,Russia,Global warming potential,kg CO2-eq / kg,Gross energy content,0.252,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Energy"
Crop,Wheat,United States,Global warming potential,kg CO2-eq / kg,Gross energy content,0.345,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Energy"
Crop,Wheat,Canada,Global warming potential,kg CO2-eq / kg,Economic,0.29,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/CA Economic"
Crop,Wheat,Russia,Global warming potential,kg CO2-eq / kg,Economic,0.252,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/RU Economic"
Crop,Wheat,United States,Global warming potential,kg CO2-eq / kg,Economic,0.345,"Agri-footprint 5, ReCiPe characterization","Wheat grain, at farm/US Economic"
Crop,Wheat,Canada,Land use,m2a / kg,Mass,2.98,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/CA Mass"
Crop,Wheat,Russia,Land use,m2a / kg,Mass,4.32,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/RU Mass"
Crop,Wheat,United States,Land use,m2a / kg,Mass,3.19,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/US Mass"
Crop,Wheat,Canada,Land use,m2a / kg,Gross energy content,2.98,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/CA Energy"
Crop,Wheat,Russia,Land use,m2a / kg,Gross energy content,4.32,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/RU Energy"
Crop,Wheat,United States,Land use,m2a / kg,Gross energy content,3.19,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/US Energy"
Crop,Wheat,Canada,Land use,m2a / kg,Economic,2.98,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/CA Economic"
Crop,Wheat,Russia,Land use,m2a / kg,Economic,4.32,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/RU Economic"
Crop,Wheat,United States,Land use,m2a / kg,Economic,3.19,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Wheat grain, at farm/US Economic"
